Región,Comuna,Factor desencadenante,Longitud,Latitud,Sistema Georeferencia,Cota (m.s.n.m),PP,valor_humedad_suelo1,valor_humedad_suelo2,valor_humedad_suelo3,valor_humedad_suelo4,AWC_100-200cm,Fecha Evento,PIRange_Bulkd.100-200cm,PIRange_Bulkd.15-30cm,PIRange_Bulkd.5-15cm,PIRange_Clay.0-5cm,PIRange_Clay.5-15cm,PIRange_Clay.60-100cm,PIRange_Sand.5-15cm,slope
,,,-72.260577996,-39.5975797899999,,,71.56316869612783,0.438995361328125,0.438995361328125,0.4371795654296875,0.4295501708984375,286.2439880371094,28/06/2022,0.6850000023841858,0.5209999680519104,0.5519999265670776,25.83799934387207,29.136999130249023,37.86899948120117,34.457000732421875,23.98104946037276
,,,-72.254660917,-39.59873828599989,,,71.56316869612783,0.438995361328125,0.438995361328125,0.4371795654296875,0.4295501708984375,285.4630126953125,28/06/2022,0.718999981880188,0.5020000338554382,0.5450000166893005,25.670000076293945,28.59000015258789,38.45000076293945,33.64500045776367,26.626618088541655
,,,-72.258994817,-39.582146215,,,71.56316869612783,0.438995361328125,0.438995361328125,0.4371795654296875,0.4295501708984375,288.5809936523437,28/06/2022,0.6940000057220459,0.5179999470710754,0.5549999475479126,26.22900009155273,24.185001373291016,38.295997619628906,32.464000701904304,28.545851966576247
,,,-72.272590767,-39.58048278099989,,,71.56316869612783,0.438995361328125,0.438995361328125,0.4371795654296875,0.4295501708984375,295.9100036621094,28/06/2022,0.7139999866485596,0.4830000102519989,0.5230000615119934,23.2509994506836,28.463998794555664,36.69100189208984,33.98400115966797,28.545851966576247
,,,-72.2869315609999,-39.561471016,,,7.53279622271657,0.4381866455078125,0.43817138671875,0.4312591552734375,0.435791015625,257.84500122070307,02/07/2022,0.6919999718666077,0.4819999933242798,0.496999979019165,25.84400177001953,24.281997680664062,41.60099792480469,34.537002563476555,35.59493744892352
,,,-72.294185751,-39.545223288,,,7.53279622271657,0.4381866455078125,0.43817138671875,0.4312591552734375,0.435791015625,233.24400329589844,02/07/2022,0.6880000233650208,0.4860000014305115,0.4990000128746033,24.9379997253418,26.48199844360352,39.30999755859375,33.53200149536133,35.59493744892352
,,,-72.298125081,-39.550199988,,,7.53279622271657,0.4381866455078125,0.43817138671875,0.4312591552734375,0.435791015625,248.4559936523437,02/07/2022,0.7059999704360962,0.4849999845027924,0.4949999749660492,26.35500144958496,32.593002319335945,39.39299774169922,36.282997131347656,35.59493744892352
,,,-72.311064088,-39.545766805,,,2.417886065654657,0.4381866455078125,0.43817138671875,0.4312591552734375,0.435333251953125,221.86099243164065,03/07/2022,0.7049999833106995,0.4839999973773956,0.4960000216960907,25.095001220703125,26.55299949645996,38.72200012207031,32.490001678466804,36.150695611721375
,,,-72.38493748099991,-39.562399751,,,1.8327892627656563,0.4475860595703125,0.4483795166015625,0.4456787109375,0.447265625,248.81700134277344,03/07/2022,0.8029999732971191,0.4990000128746033,0.5040000081062317,25.29999923706055,23.92699813842773,38.696998596191406,32.30699920654297,28.352469384589156
,,,-72.3897285889999,-39.561580511,,,1.8327892627656563,0.4475860595703125,0.4483795166015625,0.4456787109375,0.447265625,218.78700256347656,03/07/2022,0.7919999957084656,0.5070000290870667,0.5080000162124634,24.78800201416016,23.685001373291016,39.6510009765625,33.00399780273437,27.283606864560472
,,,-72.410379059,-39.5578276849999,,,2.483593421984616,0.4475860595703125,0.4483795166015625,0.4456787109375,0.447265625,212.4040069580078,03/07/2022,0.7879999876022339,0.4930000007152557,0.5509999990463257,26.58199882507324,28.48200225830078,40.22100067138672,34.689998626708984,32.171821757623995
,,,-72.415735872,-39.557847818999896,,,2.483593421984616,0.4475860595703125,0.4483795166015625,0.4456787109375,0.447265625,211.79800415039065,03/07/2022,0.7789999842643738,0.4939999878406525,0.5530000329017639,25.795997619628903,27.237998962402344,40.08200073242188,33.72499847412109,29.262150628988717
,,,-72.378496429,-39.524347776999896,,,3.4987070206921516,0.489013671875,0.4929962158203125,0.4759063720703125,0.48883056640625,226.7669982910156,03/07/2022,0.7459999918937683,0.4980000257492066,0.5230000019073486,27.85099792480469,28.55200004577637,39.86199951171875,33.94699859619141,23.052826417424534
,,,-71.870841657,-39.7263279639999,,,0.033600000431761146,0.411834716796875,0.41009521484375,0.41949462890625,0.4313507080078125,181.86900329589844,03/07/2022,0.6970000267028809,0.5270000100135803,0.5030000209808351,19.417999267578125,19.225000381469727,25.60199928283692,31.64699935913086,46.561246845373965
,,,-71.875442295,-39.741099919,,,0.033600000431761146,0.411834716796875,0.41009521484375,0.41949462890625,0.4313507080078125,174.14999389648438,03/07/2022,0.7329999804496765,0.5660000443458557,0.5600000023841858,18.42200088500977,16.930999755859375,23.30500030517578,31.47300338745117,51.622603353593156
,,,-72.034977435,-39.730190373,,,0.033600000431761146,0.4222564697265625,0.4185333251953125,0.4196319580078125,0.432464599609375,295.4620056152344,03/07/2022,0.7059999704360962,0.4819999635219574,0.556999921798706,16.20400047302246,16.211000442504886,38.435997009277344,32.91899871826172,59.035616307148416
,,,-72.03527446999999,-39.720486781,,,0.033600000431761146,0.4222564697265625,0.4185333251953125,0.4196319580078125,0.432464599609375,270.63299560546875,03/07/2022,0.7710000276565552,0.4850000143051148,0.5080000162124634,15.756999969482422,17.617000579833984,37.85100173950195,33.20099639892578,64.9957566264908
