,Longitud,Latitud,slope,PP,valor_humedad_suelo1,n.100-200cm,theta_s.100-200cm,theta_r.100-200cm,ksat.100-200cm,alpha.100-200cm,SUBTIPO,SUBTIPO_DESC
0,-72.460577996,-39.7975797899999,63.12582932280549,141.7563964114524,0.43310546875,0.0240000002086162,0.0260000005364418,0.0260000005364418,0.289000004529953,0.2469999939203262,5.0,Flujo
1,-72.454660917,-39.798738285999896,63.12582932280549,141.7563964114524,0.43310546875,0.0230000000447034,0.0219999998807907,0.0219999998807907,0.2569999992847442,0.2160000056028366,5.0,Flujo
2,-72.458994817,-39.782146215,63.12582932280549,133.412998244632,0.43310546875,0.0230000000447034,0.0219999998807907,0.0230000000447034,0.2619999945163727,0.221000000834465,5.0,Flujo
3,-72.472590767,-39.7804827809999,63.12582932280549,133.412998244632,0.43310546875,0.0219999998807907,0.0189999993890523,0.0209999997168779,0.2409999966621399,0.202000007033348,5.0,Flujo
4,-72.4869315609999,-39.761471016,44.80031205430493,5.886235170997679,0.432342529296875,0.0260000005364418,0.0289999991655349,0.0270000007003545,0.3019999861717224,0.2660000026226043,3.0,Deslizamiento
5,-72.494185751,-39.745223288000005,51.41083664189641,6.8469502348452815,0.43878173828125,0.0299999993294477,0.0410000011324882,0.0370000004768371,0.3779999911785126,0.335999995470047,3.0,Deslizamiento
6,-72.498125081,-39.750199988,51.41083664189641,6.8469502348452815,0.43878173828125,0.0260000005364418,0.0299999993294477,0.0280000008642673,0.3039999902248382,0.270000010728836,3.0,Deslizamiento
7,-72.511064088,-39.745766805,51.41083664189641,1.8521003169374568,0.4361572265625,0.0320000015199184,0.0489999987185001,0.0430000014603138,0.4670000076293945,0.3700000047683716,3.0,Deslizamiento
8,-72.58493748099991,-39.762399751,47.48461024820522,4.178801037371159,0.4343719482421875,0.0230000000447034,0.0240000002086162,0.0240000002086162,0.2720000147819519,0.2290000021457672,3.0,Deslizamiento
9,-72.5897285889999,-39.761580511,43.25935172145502,4.178801037371159,0.4343719482421875,0.0289999991655349,0.0379999987781047,0.0340000018477439,0.3479999899864197,0.3190000057220459,3.0,Deslizamiento
10,-72.610379059,-39.7578276849999,46.12073547343178,4.178801037371159,0.4343719482421875,0.0289999991655349,0.0359999984502792,0.032999999821186,0.3350000083446503,0.3089999854564667,3.0,Deslizamiento
11,-72.615735872,-39.7578478189999,46.12073547343178,4.178801037371159,0.4343719482421875,0.0280000008642673,0.0359999984502792,0.0320000015199184,0.3289999961853027,0.3050000071525574,3.0,Deslizamiento
12,-72.578496429,-39.7243477769999,37.36491870851843,1.8521003169374568,0.4361572265625,0.0270000007003545,0.0309999994933605,0.0289999991655349,0.3089999854564667,0.2800000011920929,5.0,Flujo
13,-72.070841657,-39.9263279639999,48.602303720231845,3.879972759358759,0.389190673828125,0.0309999994933605,0.0439999997615814,0.0399999991059303,0.4110000133514404,0.3499999940395355,5.0,Flujo
14,-72.075442295,-39.941099919,42.897312060638,3.879972759358759,0.389190673828125,0.032999999821186,0.0509999990463256,0.0450000017881393,0.4850000143051148,0.3770000040531158,5.0,Flujo
15,-72.234977435,-39.930190373,74.76922429724462,2.849695522338152,0.4324951171875,0.0240000002086162,0.0240000002086162,0.0240000002086162,0.2790000140666961,0.2360000014305114,5.0,Flujo
16,-72.23527447,-39.920486781,74.76922429724462,2.849695522338152,0.4324951171875,0.0230000000447034,0.0230000000447034,0.0240000002086162,0.2689999938011169,0.2269999980926513,5.0,Flujo
17,-72.2096237119999,-39.9249614089999,74.76922429724462,3.798299170583204,0.3451995849609375,0.0219999998807907,0.0209999997168779,0.0219999998807907,0.2529999911785126,0.2140000015497207,3.0,Deslizamiento
18,-72.25447328599991,-39.9105209379999,49.661249363601726,2.849695522338152,0.4324951171875,0.0260000005364418,0.0309999994933605,0.0289999991655349,0.3100000023841858,0.277999997138977,3.0,Deslizamiento
19,-72.222455193,-39.9238619299999,74.76922429724462,3.798299170583204,0.3451995849609375,0.0230000000447034,0.0209999997168779,0.0219999998807907,0.2569999992847442,0.2169999927282333,3.0,Deslizamiento
20,-72.227212035,-39.908934964,66.89836612885998,2.849695522338152,0.4324951171875,0.0289999991655349,0.0390000008046627,0.0359999984502792,0.3589999973773956,0.3300000131130218,3.0,Deslizamiento
21,-72.2421410119999,-39.900688519,52.671954368097246,2.849695522338152,0.4324951171875,0.0280000008642673,0.0359999984502792,0.032999999821186,0.3350000083446503,0.3120000064373016,5.0,Flujo
22,-72.24465682999991,-39.8991989739999,52.671954368097246,2.849695522338152,0.4324951171875,0.0280000008642673,0.0359999984502792,0.032999999821186,0.3370000123977661,0.3140000104904175,3.0,Deslizamiento
23,-72.29470861600001,-39.8948742499999,41.96342177536107,2.849695522338152,0.4324951171875,0.0309999994933605,0.0450000017881393,0.0399999991059303,0.4199999868869781,0.3569999933242798,5.0,Flujo
24,-72.3157169959999,-39.88847149,48.26966477782974,2.796796431997791,0.4291534423828125,0.0320000015199184,0.0489999987185001,0.0430000014603138,0.4589999914169312,0.3720000088214874,3.0,Deslizamiento
25,-72.361650862,-39.848511537,44.98746753619503,3.072400128468871,0.42864990234375,0.0219999998807907,0.0199999995529651,0.0219999998807907,0.2489999979734421,0.209999993443489,3.0,Deslizamiento
26,-72.340800295,-39.855493982,44.13282902205041,3.072400128468871,0.42864990234375,0.0260000005364418,0.0309999994933605,0.0289999991655349,0.3109999895095825,0.277999997138977,3.0,Deslizamiento
