iter	Logloss
0	0.676993513
1	0.6603190154
2	0.6508124324
3	0.6385991802
4	0.6277893537
5	0.6203113383
6	0.6093263412
7	0.6016896135
8	0.5956819348
9	0.589186421
10	0.5835443257
11	0.5774889236
12	0.5726897952
13	0.5673707114
14	0.5606700416
15	0.5543170804
16	0.5484347461
17	0.5453918305
18	0.5394349952
19	0.5351899222
20	0.5260809692
21	0.5234369129
22	0.5200865723
23	0.5163254253
24	0.5131565731
25	0.5094136932
26	0.5065005205
27	0.5030214087
28	0.5000025524
29	0.4963422994
30	0.4914308824
31	0.4879749729
32	0.4853270078
33	0.4816422693
34	0.4793810257
35	0.476805556
36	0.4734278533
37	0.4705588602
38	0.4681321304
39	0.4663958688
40	0.4638643062
41	0.4616537432
42	0.45853507
43	0.4564130566
44	0.4516140225
45	0.4491460968
46	0.4469744217
47	0.4438261598
48	0.4422639038
49	0.4392166092
50	0.4378319208
51	0.435677582
52	0.4327970868
53	0.4299949887
54	0.4279207479
55	0.4233664439
56	0.421117939
57	0.4186550946
58	0.417108193
59	0.4141133605
60	0.4109944535
61	0.4057611216
62	0.4033993128
63	0.4019210054
64	0.3992216904
65	0.39781469
66	0.394673724
67	0.3930418604
68	0.3909665249
69	0.3890745564
70	0.3868368903
71	0.3854206307
72	0.3841024568
73	0.3809805292
74	0.3778997506
75	0.3762207535
76	0.3745565959
77	0.371234009
78	0.3688550065
79	0.367131344
80	0.3655851223
81	0.3637469077
82	0.3618536082
83	0.3603172651
84	0.3589488861
85	0.3571318168
86	0.3553798223
87	0.3538000756
88	0.3521611393
89	0.3497603596
90	0.3481885265
91	0.3462211813
92	0.3451150619
93	0.3422956084
94	0.3410162439
95	0.3382853532
96	0.3365279706
97	0.3346082181
98	0.331326147
99	0.3285810972
100	0.3263038698
101	0.3246440655
102	0.3235456662
103	0.3204164096
104	0.3179716829
105	0.3156271198
106	0.3135186899
107	0.3112283019
108	0.3087546802
109	0.3070557815
110	0.3057867837
111	0.3046085711
112	0.3015382947
113	0.2997043889
114	0.297346255
115	0.2954938058
116	0.2945187052
117	0.2914307754
118	0.2900688949
119	0.2882595655
120	0.2867086048
121	0.2851703092
122	0.2842879348
123	0.283119321
124	0.2818156815
125	0.2798418572
126	0.2779567561
127	0.2764250207
128	0.2749157788
129	0.2731944109
130	0.271242207
131	0.2692551606
132	0.2674172611
133	0.2660305038
134	0.2634448356
135	0.262202958
136	0.2605844553
137	0.2598589663
138	0.2586033106
139	0.2569753539
140	0.255617875
141	0.2546707421
142	0.2534872687
143	0.2517977629
144	0.2508751253
145	0.2497508548
146	0.2492148178
147	0.2482086079
148	0.2474753068
149	0.2465026662
150	0.2455977592
151	0.2448679778
152	0.2432350909
153	0.242616988
154	0.241533476
155	0.239712889
156	0.2387977117
157	0.2371060331
158	0.2361844674
159	0.2355425557
160	0.2345612649
161	0.2339960651
162	0.232994734
163	0.2313098552
164	0.2300897275
165	0.2289345509
166	0.2281171691
167	0.2271922155
168	0.2261755046
169	0.2247542139
170	0.2234513153
171	0.2224783105
172	0.2221557075
173	0.2207109769
174	0.2191372488
175	0.2179031825
176	0.2164924945
177	0.2157036642
178	0.2141954597
179	0.212040223
180	0.2112282545
181	0.2101461036
182	0.208762032
183	0.2075540532
184	0.2067645999
185	0.2061748913
186	0.2053673916
187	0.204101148
188	0.2033630731
189	0.2027467106
190	0.2017830391
191	0.2011442056
192	0.2003583312
193	0.1992260859
194	0.1982492285
195	0.1972147909
196	0.1961519168
197	0.1949634166
198	0.1941008259
199	0.1931592694
200	0.1922659828
201	0.1909186794
202	0.1897043917
203	0.188801822
204	0.187656253
205	0.1865537963
206	0.1862527919
207	0.1854429316
208	0.1851573816
209	0.1844996742
210	0.1838847842
211	0.1831793409
212	0.182328344
213	0.1811262747
214	0.1804768835
215	0.1793962775
216	0.178233838
217	0.1778368739
218	0.1775973305
219	0.1770383766
220	0.1764913982
221	0.1760532944
222	0.1753218946
223	0.1743285349
224	0.1736257111
225	0.1730057882
226	0.1721443131
227	0.1712469614
228	0.170997149
229	0.1704511271
230	0.1696042982
231	0.1687941593
232	0.1679666411
233	0.1672992509
234	0.1666054707
235	0.1657022979
236	0.1652527923
237	0.1647668621
238	0.1636929899
239	0.1621284109
240	0.1613922272
241	0.1602584742
242	0.1589273327
243	0.1579977783
244	0.1574438803
245	0.1568906942
246	0.1563625123
247	0.1551042707
248	0.1544818913
249	0.1540449588
250	0.1530361529
251	0.1523189221
252	0.1514834594
253	0.1510545372
254	0.1505492576
255	0.1495839319
256	0.1488691027
257	0.1482025222
258	0.147594252
259	0.1469992462
260	0.1462260208
261	0.1455343768
262	0.1449879144
263	0.1445787598
264	0.1439816268
265	0.1437325041
266	0.1430296208
267	0.1424110856
268	0.1419434259
269	0.1412793379
270	0.1406150761
271	0.1399183045
272	0.1394531186
273	0.1389646862
274	0.1386567803
275	0.1383477067
276	0.1377410481
277	0.1371162118
278	0.1367426559
279	0.1359426858
280	0.1352238167
281	0.1344839848
282	0.1339507691
283	0.1332930481
284	0.1327459882
285	0.1322530418
286	0.1316750748
287	0.1310196872
288	0.1305537545
289	0.1298945666
290	0.129506539
291	0.1290049273
292	0.1281382326
293	0.1275813313
294	0.1271673692
295	0.1264416007
296	0.1256868774
297	0.1251828211
298	0.1246698531
299	0.1238880962
